,match_id,set_id,game_id,player,shot_type,hit_court_side,hit_type,hit_location_long,hit_location_lat,hit_location,hit_velocity,hit_wing,net_type,bounce_court_side,bounce_location_long,bounce_location_lat,bounce_location
221,964239482519510429463795739407980857415734383373,1,3,guest,none,near,ground_stroke,no_mans_land,deuce,"[0.6615917087, 2.3321281555, 1.2755773067]","[-0.5536336655, 11.4605747039, 4.5961470651]",right,net,near,service_box,deuce,"[0.029954308, 6.1387951218, 0.0]"
222,964239482519510429463795739407980857415734383373,1,4,host,first_serve,near,first_serve,service_box,deuce,"[-0.1148317084, -0.1804928084, 2.5303387642]","[-1.0031046447, 25.6045359364, 2.636087962]",top,net,near,no_mans_land,deuce,"[1.3636600971, 1.951956749, 0.0]"
223,964239482519510429463795739407980857415734383373,1,4,host,return,near,ground_stroke,out,deuce,"[1.5414751768, -1.3098091004, 1.3738943338]","[-0.9918809864, 15.5726281716, 5.4167400564]",right,over,far,no_mans_land,ad,"[0.2347741425, 18.3492164612, 0.0]"
224,964239482519510429463795739407980857415734383373,1,4,guest,serve_plus_one,far,ground_stroke,no_mans_land,deuce,"[-0.4751477242, 22.3377899534, 1.4114658833]","[-1.9276917882, -29.0632937606, 1.4188258501]",left,over,near,no_mans_land,ad,"[-1.8252449036, 2.1438207626, 0.0]"
225,964239482519510429463795739407980857415734383373,1,4,host,return_plus_one,near,ground_stroke,out,ad,"[-2.3693878651, -1.4965270874, 0.9753581882]","[0.883542966, 16.5038316154, 7.7414283303]",left,over,far,no_mans_land,deuce,"[-1.0285513401, 22.5627403259, 1.4310827255]"
226,964239482519510429463795739407980857415734383373,1,4,guest,in_play,far,ground_stroke,no_mans_land,deuce,"[-1.0285513401, 23.7715286619, 1.4310827255]","[19.312128, 19.312128, 19.312128]",right,over,near,out,ad,"[-1.9447442293, -1.5212154388, 0.0]"
227,964239482519510429463795739407980857415734383373,1,4,host,first_serve,near,first_serve,no_mans_land,ad,"[-0.4379306138, 0.0455158957, 2.5703682899]","[2.4914029286, 31.8706432498, -1.541975037]",top,over,far,service_box,ad,"[1.0162075758, 18.2678311743, 0.0]"
228,964239482519510429463795739407980857415734383373,1,4,guest,none,far,ground_stroke,no_mans_land,deuce,"[-0.4650564492, 20.2452530271, 1.7663860321]","[20.1168, 20.1168, 20.1168]",left,over,near,no_mans_land,deuce,"[0.4872882366, 4.7644481659, 0.0]"
229,964239482519510429463795739407980857415734383373,1,4,host,second_serve,near,second_serve,no_mans_land,ad,"[-0.5408138633, 0.6608149568, 2.6317107677]","[1.9306395494, 30.1410913947, -1.6472097759]",top,over,far,service_box,ad,"[0.5860071182, 17.8733394598, 0.0]"
230,964239482519510429463795739407980857415734383373,1,4,host,first_serve,near,first_serve,no_mans_land,deuce,"[0.4935384393, 0.3630849224, 2.3815662861]","[-3.5910317831, 43.5717456316, -3.6681768328]",top,over,far,service_box,deuce,"[-1.0035988092, 18.2575921385, 0.0]"
