Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
Third Year,I don't know,Applied Math,FALSE,4,FALSE,Yes,I don't know,4/7,3,3,8,Right-handed,On your back,TRUE,0,3
First Year,No,"Business, EECS",FALSE,5,FALSE,Yes,Yes,2/26,3,10,7,Right-handed,On your right side,FALSE,0,2
First Year,Yes,Cognitive Science,TRUE,2,TRUE,Yes,Yes,12/26,4,5,8,Left-handed,On your right side,FALSE,0,7
First Year,No,Applied Math,TRUE,5,FALSE,Yes,No,3/27,4,4,8,Right-handed,On your back,TRUE,0,5
First Year,Yes,Business,TRUE,1,FALSE,Yes,Yes,10/2,7,5,5,Right-handed,On your right side,FALSE,0,4
First Year,No,Molecular and Cell Biology,TRUE,1,TRUE,Yes,Yes,5/11,5,10,8,Right-handed,On your stomach,TRUE,4,1
First Year,No,Philosophy,TRUE,1,TRUE,Yes,Yes,7/14,7,4,8,Right-handed,On your right side,TRUE,2,2
Fourth Year,No,Microbial Biology,TRUE,2,FALSE,Yes,No,7/19,5,5,7,Right-handed,On your left side,FALSE,2,2
Second Year,No,EECS,FALSE,4,FALSE,Yes,I don't know,1/10,4,5,7,Right-handed,On your left side,TRUE,2,3
First Year,I don't know,Undecided,TRUE,1,TRUE,Yes,I don't know,4/23,4,3,8,Right-handed,On your left side,TRUE,4,2
First Year,No,Data Science,FALSE,3,TRUE,Yes,Yes,5/8,7,5,6,Right-handed,On your right side,FALSE,0,3
First Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,8/21,7,3,8,Right-handed,On your back,TRUE,1,5
First Year,No,Environmental Economics and Policy,TRUE,1,FALSE,Yes,Yes,3/9,7,5,9,Right-handed,On your left side,FALSE,2,2
Third Year,I don't know,"Data Science, Mechanical Engineering",FALSE,4,FALSE,Yes,Yes,5/3,1,1,6,Right-handed,On your back,TRUE,0,8
First Year,I don't know,"Data Science, Statistics",FALSE,2,FALSE,Yes,Yes,4/12,4,15,8,Right-handed,On your back,TRUE,0,2
Second Year,No,Physics,FALSE,2,FALSE,Yes,Yes,5/19,3,4,8,Right-handed,On your back,FALSE,1,2
Second Year,I don't know,Computer Science,FALSE,5,FALSE,Yes,I don't know,7/18,3,3,7,Right-handed,On your right side,FALSE,0,2
First Year,Yes,EECS,FALSE,3,TRUE,Yes,No,4/23,5,5,7,Right-handed,On your back,FALSE,0,2
First Year,Yes,Integrative biology,TRUE,1,TRUE,Yes,I don't know,9/7,5,4,8,Right-handed,On your right side,FALSE,0,2
First Year,No,Computer Science,FALSE,3,FALSE,Yes,Yes,2/9,3,2,5,Right-handed,On your right side,FALSE,0,2
First Year,Yes,Civil Engineering,TRUE,1,TRUE,Yes,Yes,9/15,8,2,10,Right-handed,On your right side,FALSE,0,2
First Year,No,Bioengineering,FALSE,4,FALSE,Yes,No,9/28,4,4,7,Right-handed,On your left side,TRUE,0,3
Second Year,Yes,Computer Science,FALSE,5,FALSE,Yes,Yes,11/22,9,10,8,Right-handed,On your stomach,FALSE,5,2
First Year,No,Environmental Economics and Policy,TRUE,2,FALSE,Yes,Yes,11/16,5,10,8,Right-handed,On your right side,FALSE,0,2
First Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,4/7,3,1,7.5,Right-handed,On your right side,TRUE,0,5
First Year,I don't know,"Applied Math, Statistics, Undecided",FALSE,3,FALSE,Yes,No,1/3,5,5,8,Right-handed,On your right side,TRUE,0,2
First Year,Yes,Physics,FALSE,2,FALSE,Yes,I don't know,2/23,4,5,7,Right-handed,On your right side,FALSE,2,2
First Year,I don't know,Business,TRUE,1,FALSE,Yes,Yes,2/13,7,5,5,Right-handed,On your right side,FALSE,2,2
First Year,No,Business,FALSE,2,FALSE,Yes,Yes,9/7,5,3,7.5,Right-handed,On your right side,FALSE,0,1
First Year,No,Environmental Economics and Policy,TRUE,1,TRUE,Yes,Yes,9/8,3,6,8,Right-handed,On your left side,FALSE,2,3
First Year,No,Applied Math,TRUE,1,FALSE,Yes,Yes,3/22,6,6,8,Right-handed,On your right side,FALSE,0,3
Second Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,4/14,4,0,7,Right-handed,On your back,FALSE,0,1
First Year,No,"Cognitive Science, Computer Science, Undecided",FALSE,2,TRUE,Yes,Yes,8/22,4,4,5,Right-handed,On your stomach,TRUE,0,4
First Year,Yes,Mathematics,TRUE,1,TRUE,Yes,No,3/30,7,8,9,Right-handed,On your stomach,FALSE,0,3
Third Year,Yes,Business,FALSE,3,TRUE,Yes,Yes,7/12,6,10,6,Right-handed,On your right side,TRUE,4,4
Fourth Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,10/25,4,4,8,Right-handed,On your left side,FALSE,2,4
First Year,I don't know,"Business, Molecular and Cell Biology",FALSE,1,TRUE,Yes,Yes,1/12,7,10,7,Right-handed,On your right side,TRUE,4,3
Second Year,I don't know,"Molecular and Cell Biology, Public Health",TRUE,1,TRUE,Yes,Yes,1/21,6,7,7,Right-handed,On your back,FALSE,2,3
First Year,No,Statistics,FALSE,4,FALSE,Yes,Yes,7/20,3,4,9,Right-handed,On your stomach,TRUE,2,6
Third Year,Yes,Physics,TRUE,2,TRUE,Yes,No,6/9,4,4,8,Right-handed,On your stomach,FALSE,2,2
Fourth Year,No,Chemistry,TRUE,1,TRUE,Maybe,No,11/29,4,5,8,Right-handed,On your right side,FALSE,3,3
First Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,3/17,4,3,7,Right-handed,On your back,TRUE,4,4
Second Year,No,Environmental Economics and Policy,FALSE,2,FALSE,Yes,I don't know,3/13,5,4,7,Right-handed,On your right side,TRUE,0,2
Second Year,No,"Business, Economics",TRUE,2,TRUE,Yes,Yes,10/17,5,2,7,Right-handed,On your left side,FALSE,0,4
Second Year,No,Astrophysics,TRUE,3,FALSE,Yes,Yes,6/10,4,4,7,Right-handed,On your back,FALSE,8,4
Fifth Year or above,I don't know,"Physics, Integrative Biology",TRUE,2,TRUE,Yes,No,10/12,7,2,7,Right-handed,On your back,FALSE,4,4
Second Year,No,"Economics, Environmental Science, ",TRUE,3,TRUE,Yes,Yes,9/25,7,15,6.5,Right-handed,On your left side,FALSE,2,2
First Year,Yes,Business,TRUE,2,FALSE,Yes,Yes,2/16,8,25,6,Right-handed,On your right side,FALSE,4,3
Third Year,Yes,Psychology,FALSE,3,FALSE,Maybe,No,11/18,4,7,8,Right-handed,On your right side,TRUE,0,1
First Year,No,Undecided,TRUE,1,FALSE,Yes,Yes,11/9,3,2,8,Right-handed,On your left side,FALSE,3,4
Fourth Year,Yes,Sociology,TRUE,1,TRUE,Maybe,No,10/20,5,5,6,Right-handed,On your stomach,FALSE,2,3
Third Year,I don't know,"Business, Economics",TRUE,3,FALSE,Yes,Yes,6/28,6,5,8,Right-handed,On your right side,FALSE,0,3
Second Year,No,Sociology and Spanish,TRUE,3,TRUE,Yes,Yes,4/18,8,4,7,Right-handed,On your left side,FALSE,4,2
First Year,I don't know,"Data Science, Media Studies",FALSE,3,TRUE,Yes,Yes,6/13,5,7,7,Right-handed,On your stomach,FALSE,5,2
First Year,No,English,TRUE,1,TRUE,Yes,Yes,3/21,7,6,8,Right-handed,On your right side,TRUE,0,3
