Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,"Applied Math, Data Science",TRUE,1,TRUE,Yes,Yes,1/20,4,15,6,Right-handed,On your right side,TRUE,4,4
First Year,Yes,Data Science,TRUE,1,TRUE,Yes,Yes,8/23,7,4,7,Right-handed,On your right side,FALSE,7,3
Second Year,I don't know,Cognitive Science,FALSE,2,TRUE,Yes,Yes,6/24,4,2,6,Right-handed,On your back,FALSE,1,5
First Year,No,Comlit + Analytics,TRUE,1,TRUE,Yes,Yes,4/24,3,6,7,Right-handed,On your right side,TRUE,3,5
Fourth Year,No,"Molecular and Cell Biology, Public Health",TRUE,3,FALSE,Yes,Yes,4/22,6,5,7,Right-handed,On your right side,TRUE,2,4
Third Year,No,Integrative Biology,TRUE,2,FALSE,Yes,Yes,2/4,8,12,9,Right-handed,On your right side,FALSE,4,4
First Year,No,"Cognitive Science, Data Science",FALSE,2,FALSE,Yes,Yes,9/14,7,4,8,Right-handed,On your right side,FALSE,4,5
First Year,No,Applied Math,FALSE,1,FALSE,Yes,No,9/5,5,6,9,Right-handed,On your stomach,TRUE,0,3
First Year,Yes,Computer Science,FALSE,3,TRUE,Yes,Yes,10/14,3,6,8,Right-handed,On your back,TRUE,2,2
First Year,No,Cognitive Science,FALSE,4,FALSE,Yes,Yes,8/19,7,15,7,Right-handed,On your stomach,TRUE,2,4
Third Year,Yes,"Cognitive Science, Political Science",FALSE,4,FALSE,Yes,Yes,2/22,6,5,7,Right-handed,On your right side,TRUE,0,1
Fourth Year,No,Applied Math,FALSE,4,FALSE,Yes,No,9/30,5,4,9,Right-handed,On your right side,TRUE,0,4
First Year,No,Molecular and Cell Biology,FALSE,2,FALSE,Yes,Yes,4/25,7,2,7,Right-handed,On your right side,FALSE,0,2
Fourth Year,No,Molecular and Cell Biology,TRUE,3,TRUE,Yes,Yes,7/22,6,5,6,Right-handed,On your back,FALSE,1,1
First Year,No,"Data Science, Physics",FALSE,3,FALSE,Yes,Yes,5/17,6,8,8,Right-handed,On your back,TRUE,0,2
First Year,Yes,Legal Studies,FALSE,4,FALSE,Yes,No,2/8,8,7,7,Right-handed,On your left side,FALSE,0,2
First Year,Yes,Computer Science,FALSE,5,TRUE,Yes,I don't know,9/23,5,5,7,Right-handed,On your back,FALSE,0,2
Third Year,Yes,English,TRUE,1,TRUE,Yes,I don't know,1/19,4,2,8,Right-handed,On your right side,FALSE,0,2
First Year,Yes,Molecular and Cell Biology,TRUE,1,TRUE,Yes,Yes,2/27,7,3,7,Right-handed,On your right side,TRUE,4,3
First Year,No,Statistics,FALSE,4,FALSE,Yes,Yes,3/28,4,6,7,Right-handed,On your right side,FALSE,4,3
First Year,No,"Data Science, Economics",FALSE,1,FALSE,Yes,Yes,5/16,6,5,7,Right-handed,On your right side,FALSE,4,3
First Year,Yes,Civil Engineering,FALSE,3,TRUE,Yes,Yes,2/19,4,4,8,Right-handed,On your left side,FALSE,0,2
Third Year,I don't know,EECS,FALSE,4,FALSE,Yes,Yes,1/21,3,3,8,Right-handed,On your back,FALSE,6,1
Second Year,I don't know,Molecular and Cell Biology,FALSE,1,TRUE,Yes,Yes,2/15,7,3,5,Right-handed,On your left side,TRUE,2,2
First Year,No,chemical biology ,FALSE,2,TRUE,Yes,Yes,2/11,6,10,7,Right-handed,On your back,TRUE,0,2
First Year,Yes,"Business, Public Health",TRUE,1,FALSE,Yes,Yes,3/11,7,5,7,Right-handed,On your left side,FALSE,2,6
First Year,I don't know,Undecided,FALSE,3,FALSE,Yes,Yes,1/22,5,30,8,Right-handed,On your back,TRUE,2,3
First Year,Yes,"Economics, Public Health",TRUE,2,TRUE,Yes,Yes,1/23,4,8,6,Right-handed,On your right side,FALSE,0,2
Fourth Year,No,Chemistry,TRUE,1,TRUE,Yes,No,11/3,1,2,7,Right-handed,On your back,TRUE,2,4
First Year,I don't know,"Data Science, Economics",TRUE,1,FALSE,Yes,Yes,11/5,4,4,7,Right-handed,On your back,FALSE,2,2
First Year,Yes,Applied Math,TRUE,1,TRUE,Yes,I don't know,7/4,7,5,7,Right-handed,On your back,TRUE,0,3
First Year,No,"Cognitive Science, Data Science",TRUE,3,TRUE,Yes,Yes,3/6,3,1,10,Right-handed,On your back,FALSE,2,5
Second Year,I don't know,"Business, Molecular and Cell Biology",TRUE,1,TRUE,Yes,Yes,4/6,7,8,8,Right-handed,On your back,FALSE,7,6
First Year,No,Economics,FALSE,1,FALSE,Yes,Yes,8/5,7,3,6,Right-handed,On your right side,FALSE,2,2
First Year,I don't know,"Cognitive Science, sustainable environmental design",FALSE,2,TRUE,Yes,Yes,6/8,5,3,9,Right-handed,On your right side,FALSE,2,4
Third Year,I don't know,Environmental Science,TRUE,1,TRUE,Yes,No,7/2,4,5,7,Right-handed,On your back,FALSE,0,5
Second Year,No,Environmental Economics and Policy,TRUE,1,TRUE,Yes,Yes,10/31,7,5,9,Right-handed,On your right side,FALSE,5,3
First Year,No,"Cognitive Science, Computer Science, Data Science",FALSE,3,TRUE,Yes,Yes,11/4,4,2,7,Right-handed,On your back,FALSE,3,3
Fourth Year,Yes,Molecular environmental biology,FALSE,2,TRUE,Yes,No,6/30,9,2,8,Right-handed,On your back,FALSE,2,2
First Year,Yes,Analytics,TRUE,1,TRUE,Yes,Yes,11/21,7,30,7,Right-handed,On your right side,FALSE,1,2
First Year,Yes,Cognitive Science,TRUE,1,FALSE,Yes,Yes,6/1,6,8,7,Right-handed,On your right side,TRUE,2,1
First Year,Yes,Political Science,TRUE,1,TRUE,Yes,Yes,5/22,8,13,8,Right-handed,On your stomach,FALSE,5,2
First Year,No,EECS,FALSE,4,FALSE,Yes,Yes,7/9,2,3,8,Right-handed,On your right side,TRUE,0,2
Third Year,No,"Media Studies, Political Science",TRUE,1,FALSE,Yes,Yes,7/8,5,5,7,Right-handed,On your left side,FALSE,6,2
First Year,Yes,Civil Engineering,TRUE,1,FALSE,Yes,Yes,12/16,5,1,7,Right-handed,On your stomach,FALSE,2,2
First Year,No,"Psychology, Public Health",TRUE,1,TRUE,Yes,Yes,10/6,6,3,7,Right-handed,On your left side,TRUE,2,3
Third Year,No,Media Studies,TRUE,1,FALSE,Yes,Yes,12/5,6,3,6,Right-handed,On your left side,FALSE,2,5
First Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,9/12,3,2,5.5,Right-handed,On your back,TRUE,2,2
First Year,Yes,Media Studies,TRUE,1,FALSE,Yes,Yes,5/25,8,8,7,Right-handed,On your right side,TRUE,2,5
First Year,I don't know,"Cognitive Science, Psychology",TRUE,1,FALSE,Yes,Yes,2/13,5,3,6,Right-handed,On your right side,FALSE,2,1
Second Year,Yes,civil engineering,FALSE,2,TRUE,Yes,Yes,2/22,4,3,7,Right-handed,On your left side,FALSE,4,2
First Year,No,Economics,TRUE,1,FALSE,Yes,Yes,4/23,8,20,8,Right-handed,On your right side,FALSE,1,3
First Year,Yes,Civil Engineering,TRUE,1,FALSE,Yes,Yes,6/6,5,6,7,Right-handed,On your left side,FALSE,3,3
Second Year,I don't know,Computer Science,FALSE,5,TRUE,Yes,Yes,8/3,5,2,7,Right-handed,On your back,FALSE,3,2
First Year,I don't know,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,4/25,8,16,7,Right-handed,On your right side,FALSE,0,2
First Year,Yes,Computer Science,FALSE,3,FALSE,Yes,Yes,10/17,5,5,7,Right-handed,On your right side,FALSE,2,3
Second Year,I don't know,"Applied Math, Political Science",FALSE,4,TRUE,Maybe,No,2/24,4,8,7.5,Right-handed,On your left side,FALSE,2,4
First Year,Yes,Undecided,TRUE,3,TRUE,Yes,Yes,8/1,7,5,8,Right-handed,On your right side,TRUE,0,5
First Year,No,Public Health,FALSE,3,FALSE,Yes,Yes,6/4,8,5,9,Right-handed,On your left side,TRUE,0,2
First Year,Yes,Business,TRUE,1,TRUE,Maybe,Yes,11/17,8,5,6,Right-handed,On your back,FALSE,0,5
Graduate Student,No,Environmental Systems engineering,TRUE,1,TRUE,Yes,No,10/24,9,4,8,Left-handed,On your left side,TRUE,6,3
Second Year,No,"Public Health, Integrative Biology",TRUE,1,TRUE,Yes,Yes,7/30,7,3,7,Right-handed,On your right side,TRUE,12,3
First Year,Yes,"Data Science, Molecular and Cell Biology",FALSE,5,FALSE,Yes,Yes,1/31,4,8,8,Right-handed,On your stomach,FALSE,0,6
First Year,No,Economics,TRUE,1,TRUE,Maybe,Yes,1/15,7,8,8,Right-handed,On your back,TRUE,0,3
Second Year,No,Media Studies,TRUE,3,FALSE,Yes,Yes,2/6,5,3,6,Right-handed,On your right side,TRUE,4,2
Second Year,No,"Economics, Environmental Science",TRUE,1,FALSE,Yes,Yes,1/14,8,7,6,Right-handed,On your left side,FALSE,2,3
Fourth Year,No,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,4/5,7,3,8,Right-handed,On your left side,FALSE,2,3
Third Year,Yes,IB,TRUE,2,FALSE,Yes,No,6/26,5,3,7,Right-handed,On your right side,FALSE,2,3
Third Year,No,Neuroscience,TRUE,2,FALSE,Yes,Yes,8/10,3,6,8,Right-handed,On your left side,FALSE,0,1
First Year,No,"Applied Math, Data Science",TRUE,1,TRUE,Yes,Yes,11/13,7,5,7,Right-handed,On your right side,FALSE,0,2
First Year,No,Environmental Economics and Policy,TRUE,1,FALSE,Yes,Yes,2/10,6,3,8,Right-handed,On your back,TRUE,0,2
Fourth Year,Yes,Geophysics,TRUE,1,TRUE,Yes,No,9/1,3,1,8,Right-handed,On your left side,TRUE,3,4
First Year,No,Sustainable Environmental Design,TRUE,1,TRUE,Yes,Yes,2/8,8,7,8,Right-handed,On your stomach,FALSE,3,4
Second Year,I don't know,"Molecular and Cell Biology, Public Health",FALSE,3,TRUE,Yes,Yes,12/1,5,3,9,Right-handed,On your left side,TRUE,2,3
Third Year,No,Theater,TRUE,1,TRUE,Maybe,No,11/15,5,2,6,Right-handed,On your right side,FALSE,0,3
Third Year,No,Chemical Biology,TRUE,1,FALSE,Yes,No,7/2,3,2,7,Right-handed,On your back,TRUE,0,3
Third Year,Yes,EECS,FALSE,4,FALSE,Yes,No,7/29,6,7,7,Right-handed,On your right side,FALSE,6,4
Second Year,No,Business,FALSE,3,FALSE,Yes,Yes,6/16,6,10,6,Right-handed,On your stomach,FALSE,4,7
First Year,No,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,7/23,7,2,7,Right-handed,On your left side,TRUE,2,4
First Year,No,Applied Math,FALSE,2,FALSE,Yes,Yes,4/25,8,10,7,Right-handed,On your left side,TRUE,0,3
Second Year,I don't know,"Applied Math, Economics",TRUE,2,TRUE,Yes,Yes,10/27,8,4,7,Right-handed,On your back,FALSE,2,3
First Year,No,Cognitive Science,TRUE,1,FALSE,Yes,Yes,7/27,3,4,7.5,Right-handed,On your back,TRUE,0,3
First Year,I don't know,Molecular and Cell Biology,TRUE,2,FALSE,Yes,Yes,8/10,6,3,7,Right-handed,On your left side,TRUE,0,2
First Year,No,Political Economy,TRUE,1,TRUE,Yes,Yes,8/21,3,7,8,Right-handed,On your right side,TRUE,0,3
First Year,I don't know,"Applied Math, Data Science",FALSE,2,TRUE,Yes,Yes,10/25,8,16,7,Right-handed,On your left side,TRUE,0,5
Second Year,I don't know,Engineering: Mathematics and Statistics,FALSE,1,FALSE,Yes,Yes,5/23,4,10,7,Right-handed,On your right side,FALSE,0,1
First Year,No,Microbiology,TRUE,1,TRUE,Yes,Yes,12/16,5,5,8,Right-handed,On your back,TRUE,2,2
Third Year,No,Chemistry,FALSE,3,TRUE,Yes,No,12/26,7,15,7.5,Right-handed,On your left side,TRUE,0,2
Third Year,No,Business,TRUE,4,FALSE,Yes,No,3/16,7,3,6.5,Right-handed,On your right side,FALSE,0,4
First Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,1/25,8,7,8,Right-handed,On your stomach,TRUE,8,3
First Year,No,Integrative Biology,TRUE,1,TRUE,Yes,Yes,3/7,7,12,7,Right-handed,On your right side,FALSE,0,4
First Year,Yes,"Business, Cognitive Science",FALSE,4,FALSE,Yes,Yes,12/16,8,15,7,Right-handed,On your left side,FALSE,1,3
Second Year,Yes,"Data Science, Molecular and Cell Biology",FALSE,3,FALSE,Yes,Yes,8/24,8,4,6,Right-handed,On your back,FALSE,0,3
First Year,Yes,Computer Science,FALSE,3,FALSE,Yes,Yes,8/28,2,2,5,Right-handed,On your right side,TRUE,6,3
First Year,No,Environmental Economics with Policy,FALSE,1,TRUE,Yes,Yes,9/8,7,10,8,Right-handed,On your left side,TRUE,0,2
First Year,I don't know,Mechanical Engineering,FALSE,2,FALSE,Yes,No,4/13,7,8,6,Right-handed,On your right side,FALSE,2,3
First Year,No,Cognitive Science,FALSE,3,TRUE,Yes,Yes,1/13,8,35,8,Right-handed,On your stomach,TRUE,0,3
First Year,No,Integrative biology,TRUE,2,TRUE,Yes,Yes,5/19,7,2,7,Right-handed,On your back,TRUE,0,3
First Year,No,Business,TRUE,1,FALSE,Yes,Yes,5/17,6,15,6,Right-handed,On your stomach,FALSE,4,7
First Year,I don't know,Business,FALSE,3,FALSE,Yes,Yes,4/10,7,4,7,Left-handed,On your right side,TRUE,2,7
Second Year,Yes,bioengineering,FALSE,3,FALSE,Yes,No,5/25,7,10,6,Right-handed,On your right side,TRUE,1,3
First Year,I don't know,Undecided,FALSE,3,FALSE,Yes,I don't know,4/30,2,3,8,Right-handed,On your back,FALSE,0,5
Third Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,8/27,3,1,7,Right-handed,On your right side,TRUE,0,3
Second Year,No,Chemical Biology,FALSE,3,FALSE,Yes,I don't know,11/29,6,5,8,Right-handed,On your stomach,TRUE,0,2
Third Year,No,Media Studies,TRUE,1,FALSE,Yes,Yes,6/6,5,7,8,Left-handed,On your right side,FALSE,6,3
First Year,I don't know,Undecided,TRUE,1,FALSE,Yes,Yes,7/7,4,3,5,Right-handed,On your right side,TRUE,4,2
Second Year,No,L&S,TRUE,3,TRUE,Yes,I don't know,6/10,2,3,8,Right-handed,On your back,TRUE,0,3
Third Year,No,Applied Math,FALSE,2,FALSE,Yes,Yes,11/23,7,6,8,Right-handed,On your right side,FALSE,3,5
Third Year,Yes,Applied Math,TRUE,1,FALSE,Maybe,I don't know,9/24,5,5,5,Right-handed,On your right side,FALSE,0,2
First Year,Yes,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,6/1,8,6,7,Right-handed,On your stomach,FALSE,2,3
First Year,Yes,Business,TRUE,2,TRUE,Yes,Yes,6/11,3,6,7,Right-handed,On your left side,FALSE,2,2
Second Year,No,Integrative Biology,TRUE,1,FALSE,Yes,No,2/22,5,7,6,Right-handed,On your back,TRUE,5,3
First Year,Yes,Political Economy,TRUE,3,TRUE,Yes,No,9/16,6,5,7,Right-handed,On your back,FALSE,0,2
Third Year,No,"Chemistry, Legal Studies",FALSE,2,TRUE,Yes,Yes,11/18,6,4,6.5,Right-handed,On your left side,TRUE,2,2
First Year,No,"Data Science, Urban Studies",TRUE,1,TRUE,Yes,Yes,10/1,6,9,9,Right-handed,On your stomach,FALSE,1,2
First Year,No,"Data Science, Undecided",TRUE,1,TRUE,Yes,Yes,6/23,4,5,7,Right-handed,On your left side,TRUE,0,3
Second Year,No,"Public Health, Integrative Biology",FALSE,2,TRUE,Yes,Yes,12/3,5,4,7,Right-handed,On your left side,TRUE,8,3
Third Year,Yes,"Public Health, Nutrition and Metabolic Biology",FALSE,2,FALSE,Yes,Yes,4/6,3,5,6,Right-handed,On your right side,TRUE,2,3
Second Year,Yes,"Applied Math, Computer Science",FALSE,5,FALSE,Yes,Yes,12/12,3,10,7,Right-handed,On your back,FALSE,0,4
First Year,I don't know,Data Science,TRUE,1,FALSE,Yes,Yes,12/25,5,3,6,Right-handed,On your back,TRUE,0,2
Second Year,No,"Applied Math, Political Science",TRUE,1,TRUE,Yes,Yes,11/24,4,5,9,Left-handed,On your stomach,TRUE,0,5
First Year,No,Molecular and Cell Biology,TRUE,2,TRUE,Yes,Yes,8/16,8,6,8,Right-handed,On your back,TRUE,1,7
First Year,I don't know,"Business, Data Science",TRUE,1,FALSE,Yes,Yes,8/18,8,10,7,Right-handed,On your back,FALSE,0,4
Third Year,No,Chemical Biology,TRUE,1,TRUE,Yes,No,12/4,5,5,8,Right-handed,On your left side,FALSE,4,4
First Year,No,Business,TRUE,2,TRUE,Yes,Yes,1/13,4,8,6,Right-handed,On your right side,TRUE,0,4
First Year,Yes,Political Science,TRUE,2,TRUE,Yes,Yes,6/3,6,3,7,Right-handed,On your right side,FALSE,0,2
First Year,No,Economics,TRUE,1,FALSE,Yes,No,7/4,4,3,8,Right-handed,On your left side,TRUE,0,3
Graduate Student,Yes,Neuroscience,FALSE,2,TRUE,Yes,No,3/24,2,3,7,Right-handed,On your back,FALSE,3,2
Third Year,I don't know,Political Science,TRUE,1,TRUE,Yes,Yes,4/29,6,4,7,Right-handed,On your right side,TRUE,0,3
Third Year,Yes,Applied Math,TRUE,3,FALSE,Yes,No,4/19,7,2,7,Right-handed,On your right side,FALSE,1,3
Fourth Year,No,English,TRUE,1,TRUE,Maybe,No,4/4,3,3,7,Right-handed,On your left side,TRUE,2,2
Second Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,12/12,3,2,7.5,Right-handed,On your left side,FALSE,0,3
First Year,No,Environmental economics and policy,TRUE,1,TRUE,Yes,Yes,5/30,8,10,7,Right-handed,On your left side,FALSE,0,3
Second Year,Yes,Microbial Biology,TRUE,1,FALSE,Maybe,I don't know,2/28,4,4,7,Right-handed,On your left side,TRUE,5,1
Second Year,Yes,Bioengineering,FALSE,3,TRUE,Yes,Yes,6/30,4,2,8,Right-handed,On your right side,FALSE,5,2
Third Year,Yes,Statistics,TRUE,3,TRUE,Yes,Yes,5/25,5,5,8,Right-handed,On your back,TRUE,0,3
First Year,No,IEOR,FALSE,4,TRUE,Yes,Yes,7/16,8,20,6,Right-handed,On your right side,FALSE,0,2
First Year,No,"Computer Science, Physics",FALSE,5,FALSE,Yes,No,9/30,5,7,7,Right-handed,On your back,TRUE,0,3
Fourth Year,No,Media Studies,TRUE,1,TRUE,Yes,I don't know,1/5,3,3,8,Right-handed,On your left side,FALSE,2,7
First Year,Yes,Psychology,TRUE,1,FALSE,Yes,No,1/14,7,3,7,Right-handed,On your right side,FALSE,1,2
First Year,I don't know,"Media Studies, Music",FALSE,3,FALSE,Yes,Yes,9/13,4,5,7,Right-handed,On your back,TRUE,0,3
First Year,No,Applied Math,FALSE,3,TRUE,Yes,Yes,5/11,5,30,7,Right-handed,On your right side,TRUE,0,5
First Year,No,"Cognitive Science, Economics",FALSE,4,FALSE,Yes,Yes,7/14,10,50,6,Right-handed,On your stomach,FALSE,0,2
First Year,No,Applied Math,FALSE,4,FALSE,Yes,Yes,4/13,2,4,8,Right-handed,On your back,FALSE,0,3
Second Year,Yes,Computer Science,FALSE,4,TRUE,Yes,Yes,10/27,5,4,5,Right-handed,On your left side,TRUE,2,5
Third Year,Yes,Applied Math,FALSE,3,TRUE,Yes,Yes,4/3,7,1,7,Right-handed,On your right side,FALSE,0,3
Second Year,Yes,Statistics,FALSE,4,FALSE,Yes,Yes,1/13,8,5,7,Right-handed,On your left side,FALSE,11,3
Second Year,Yes,EECS,FALSE,4,FALSE,Yes,I don't know,8/10,4,3,6,Right-handed,On your left side,FALSE,10,4
Second Year,No,Molecular and Cell Biology,FALSE,4,FALSE,Yes,Yes,5/9,7,4,6,Right-handed,On your left side,TRUE,1,3
Second Year,Yes,Public Health,TRUE,3,FALSE,Yes,Yes,8/1,7,2,6,Right-handed,On your right side,TRUE,2,2
Third Year,No,Computer Science,FALSE,5,FALSE,Yes,Yes,1/29,3,3,9,Right-handed,On your right side,FALSE,0,2
First Year,I don't know,Applied Math,FALSE,5,FALSE,Yes,I don't know,8/25,6,2,7,Right-handed,On your right side,FALSE,0,2
First Year,No,Applied Math,FALSE,4,FALSE,Yes,Yes,12/5,4,3,8,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,"Environmental Engineering Science, potentially switching to CivE",FALSE,4,FALSE,Yes,Yes,5/11,8,8,5.5,Right-handed,On your back,FALSE,0,5
Third Year,Yes,Physics,FALSE,3,FALSE,Yes,No,11/20,7,7,8,Right-handed,On your back,FALSE,2,2
Second Year,I don't know,Cognitive Science,TRUE,1,TRUE,Yes,Yes,12/19,1,3,7,Right-handed,On your right side,TRUE,6,2
First Year,No,Public Health,TRUE,1,TRUE,Yes,Yes,10/20,9,6,8,Left-handed,On your left side,FALSE,2,2
Fourth Year,Yes,Molecular and Cell Biology,FALSE,2,TRUE,Yes,No,7/10,7,6,5,Right-handed,On your stomach,TRUE,2,5
Third Year,I don't know,"Applied Math, Data Science",FALSE,3,FALSE,Yes,Yes,11/19,5,3,6,Right-handed,On your right side,TRUE,0,5
First Year,No,Undecided,FALSE,3,TRUE,Yes,Yes,3/16,5,5,8,Right-handed,On your left side,TRUE,1,3
First Year,Yes,Business,FALSE,1,TRUE,Yes,Yes,3/30,4,3,6,Right-handed,On your stomach,FALSE,0,2
Fourth Year,I don't know,Cognitive Science,FALSE,3,TRUE,Yes,Yes,12/3,2,2,6,Right-handed,On your right side,FALSE,6,2
Second Year,Yes,Computer Science,FALSE,4,TRUE,Yes,Yes,2/5,3,3,6,Right-handed,On your stomach,FALSE,2,3
Second Year,No,Cognitive Science,FALSE,3,TRUE,Yes,Yes,12/25,4,6,7,Right-handed,On your stomach,FALSE,0,3
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,9/8,8,10,8,Right-handed,On your left side,TRUE,0,2
Second Year,Yes,Ethnic Studies,FALSE,1,TRUE,Yes,Yes,10/9,6,3,7,Right-handed,On your right side,TRUE,0,5
Graduate Student,Yes,Energy and Resources Group,TRUE,1,TRUE,Yes,No,11/26,5,4,7,Right-handed,On your left side,TRUE,0,1
Third Year,No,Integrative Biology,TRUE,1,TRUE,Yes,Yes,2/28,7,5,8,Right-handed,On your right side,FALSE,3,1
Second Year,Yes,Applied Math,TRUE,3,FALSE,Yes,No,12/17,7,4,7,Right-handed,On your stomach,TRUE,2,3
Second Year,No,Psychology,TRUE,2,FALSE,Yes,Yes,3/28,4,6,9,Right-handed,On your stomach,TRUE,4,2
Third Year,Yes,Mathematics,FALSE,1,TRUE,Maybe,No,8/28,3,2,7,Right-handed,On your right side,TRUE,0,3
Fourth Year,Yes,"Molecular and Cell Biology, Ancient Greek and Roman Studies",TRUE,1,TRUE,Maybe,No,2/13,5,15,8,Right-handed,On your back,TRUE,8,5
Second Year,Yes,Applied Math,TRUE,1,FALSE,Yes,No,10/3,4,4,8,Right-handed,On your back,FALSE,0,2
First Year,No,Environmental Science,TRUE,1,FALSE,Yes,Yes,3/23,5,3,6,Right-handed,On your right side,TRUE,1,2
First Year,No,Statistics,FALSE,2,FALSE,Yes,Yes,2/14,5,5,7,Right-handed,On your left side,TRUE,5,1
Fourth Year,I don't know,Nutrition and Metabolic Biology,TRUE,1,TRUE,Yes,No,1/30,5,10,7,Right-handed,On your right side,FALSE,2,3
First Year,No,"Economics, Industrial Engineering & Operations Research (IEOR)",FALSE,4,FALSE,Yes,Yes,4/25,9,10,7,Right-handed,On your left side,TRUE,0,8
First Year,I don't know,Political Science,FALSE,3,TRUE,Yes,Yes,7/3,7,5,6,Right-handed,On your right side,FALSE,0,3
First Year,No,Applied Math,FALSE,5,FALSE,Yes,Yes,5/23,4,6,8,Right-handed,On your right side,TRUE,0,3
First Year,Yes,"Business, Neuroscience",TRUE,1,TRUE,Yes,Yes,9/19,9,20,8,Right-handed,On your right side,TRUE,0,3
First Year,No,Global studies,FALSE,4,FALSE,Yes,I don't know,7/5,7,4,7,Right-handed,On your back,FALSE,3,4
First Year,Yes,Environmental Science,FALSE,2,FALSE,Yes,I don't know,6/20,7,8,8,Right-handed,On your left side,TRUE,5,5
Third Year,No,Sociology,TRUE,1,TRUE,Yes,Yes,11/27,3,1,6,Right-handed,On your right side,FALSE,1,3
Third Year,No,Molecular and Cell Biology,FALSE,2,TRUE,Yes,No,10/10,5,3,6,Right-handed,On your back,FALSE,2,3
First Year,No,Neuroscience,TRUE,1,FALSE,Yes,Yes,1/7,7,20,6,Right-handed,On your stomach,TRUE,6,5
First Year,No,Physics,TRUE,3,FALSE,Yes,No,9/26,7,7,7,Right-handed,On your back,TRUE,0,2
Third Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,6/9,4,4,8,Right-handed,On your right side,FALSE,3,5
First Year,No,Sustainable Environmental Design,TRUE,1,TRUE,Yes,Yes,4/13,8,6,7,Right-handed,On your right side,FALSE,0,3
Third Year,Yes,Statistics,FALSE,5,FALSE,Yes,Yes,5/19,6,4,8,Right-handed,On your left side,TRUE,0,6
Second Year,Yes,Environmental Economics & Policy,TRUE,1,TRUE,Yes,Yes,3/10,8,25,7,Right-handed,On your back,FALSE,0,3
Third Year,Yes,"Public Health, Anthropology",TRUE,2,FALSE,Yes,Yes,8/28,5,3,6,Right-handed,On your left side,TRUE,4,2
First Year,No,Industrial Engenering,FALSE,3,TRUE,Yes,Yes,1/24,3,5,7.5,Right-handed,On your left side,FALSE,0,1
Second Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,12/8,6,3,7,Right-handed,On your right side,TRUE,0,2
Third Year,No,Applied Math,FALSE,5,FALSE,Yes,Yes,12/10,6,3,5,Right-handed,On your right side,FALSE,0,1
Third Year,No,Molecular and Cell Biology,FALSE,3,TRUE,Yes,No,4/3,3,4,7,Right-handed,On your left side,TRUE,0,4
First Year,No,"Cognitive Science, English",TRUE,1,FALSE,Yes,Yes,1/8,7,5,8,Right-handed,On your left side,FALSE,2,3
First Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,2/8,5,8,8,Right-handed,On your right side,FALSE,8,1
Second Year,Yes,Public Health,TRUE,2,TRUE,Yes,Yes,12/4,6,4,7,Right-handed,On your back,FALSE,2,2
Second Year,No,"Cognitive Science, English",TRUE,1,TRUE,Yes,Yes,6/16,5,10,9,Right-handed,On your back,FALSE,5,2
First Year,No,Business,FALSE,1,FALSE,Yes,Yes,12/23,8,30,7,Right-handed,On your back,TRUE,0,7
First Year,No,"Molecular and Cell Biology, Public Health",TRUE,1,TRUE,Yes,Yes,10/13,7,4,6,Right-handed,On your back,TRUE,1,2
First Year,No,"Data Science, Economics",FALSE,2,TRUE,Yes,Yes,9/30,7,8,9,Right-handed,On your right side,FALSE,0,1
Second Year,Yes,Computer Science,FALSE,5,FALSE,Yes,Yes,1/17,9,3,9,Right-handed,On your left side,TRUE,3,2
First Year,No,"Data Science, sociology",FALSE,3,TRUE,Yes,Yes,2/19,5,7,6,Right-handed,On your right side,TRUE,0,3
First Year,Yes,Environmental Econ and Policy,TRUE,1,TRUE,Yes,Yes,6/28,3,5,6,Right-handed,On your right side,FALSE,4,2
First Year,Yes,IEOR,TRUE,2,TRUE,Yes,Yes,9/17,8,10,9,Right-handed,On your right side,FALSE,0,5
First Year,No,Architecture,FALSE,3,FALSE,Yes,Yes,11/16,3,3,7,Right-handed,On your left side,FALSE,0,4
First Year,I don't know,Environmental Econ & Policy,FALSE,3,TRUE,Yes,Yes,6/13,8,7,6,Right-handed,On your back,TRUE,4,5
Second Year,Yes,Media Studies,TRUE,1,FALSE,Yes,Yes,4/18,5,3,7,Left-handed,On your stomach,FALSE,2,2
First Year,Yes,"Business, Molecular and Cell Biology",TRUE,1,FALSE,Yes,Yes,9/26,8,5,8,Right-handed,On your left side,FALSE,0,0
